1: (ep_len: 47, kl: 0.1495, lr_mult: 0.6667, loss: 5.4707, entropy: 4.6973, EV_old: -0.0871, EV_new: 0.4521, sp_time: 253.0188, train_time: 7.0292)
2: (ep_len: 49, kl: 0.0368, lr_mult: 0.6667, loss: 5.4193, entropy: 4.7440, EV_old: 0.3212, EV_new: 0.3359, sp_time: 254.5282, train_time: 16.8626)
3: (ep_len: 44, kl: 0.0282, lr_mult: 0.6667, loss: 5.5607, entropy: 4.6662, EV_old: -0.0126, EV_new: 0.0997, sp_time: 236.2241, train_time: 16.1802)
4: (ep_len: 47, kl: 0.0278, lr_mult: 0.6667, loss: 5.3572, entropy: 4.5295, EV_old: 0.2325, EV_new: 0.2818, sp_time: 216.8580, train_time: 16.0658)
5: (ep_len: 34, kl: 0.0171, lr_mult: 0.6667, loss: 5.4561, entropy: 4.5415, EV_old: 0.0873, EV_new: 0.1142, sp_time: 236.1339, train_time: 15.8891)
6: (ep_len: 36, kl: 0.0195, lr_mult: 0.6667, loss: 5.3990, entropy: 4.4914, EV_old: 0.0320, EV_new: 0.0735, sp_time: 231.3853, train_time: 16.0055)
7: (ep_len: 37, kl: 0.0170, lr_mult: 0.6667, loss: 5.3708, entropy: 4.4566, EV_old: 0.0776, EV_new: 0.1070, sp_time: 177.8381, train_time: 15.8714)
8: (ep_len: 43, kl: 0.0307, lr_mult: 0.6667, loss: 5.2122, entropy: 4.3937, EV_old: 0.1414, EV_new: 0.1885, sp_time: 197.8091, train_time: 16.0881)
9: (ep_len: 41, kl: 0.0583, lr_mult: 0.4444, loss: 5.1468, entropy: 4.3207, EV_old: 0.1658, EV_new: 0.2254, sp_time: 203.2185, train_time: 15.9476)
10: (ep_len: 31, kl: 0.0224, lr_mult: 0.4444, loss: 5.0444, entropy: 4.3052, EV_old: 0.2302, EV_new: 0.2795, sp_time: 148.6145, train_time: 15.9142)
11: (ep_len: 36, kl: 0.0233, lr_mult: 0.4444, loss: 5.0496, entropy: 4.3472, EV_old: 0.2366, EV_new: 0.2932, sp_time: 195.1235, train_time: 15.9995)
12: (ep_len: 48, kl: 0.0354, lr_mult: 0.4444, loss: 4.8516, entropy: 4.3315, EV_old: 0.3665, EV_new: 0.4402, sp_time: 240.0813, train_time: 15.9355)
13: (ep_len: 50, kl: 0.0119, lr_mult: 0.4444, loss: 4.8602, entropy: 4.3172, EV_old: 0.4438, EV_new: 0.4727, sp_time: 245.0660, train_time: 16.0187)
14: (ep_len: 48, kl: 0.0279, lr_mult: 0.4444, loss: 4.9022, entropy: 4.3343, EV_old: 0.3217, EV_new: 0.3712, sp_time: 227.6651, train_time: 15.9387)
15: (ep_len: 34, kl: 0.0150, lr_mult: 0.4444, loss: 4.8593, entropy: 4.2379, EV_old: 0.3183, EV_new: 0.3950, sp_time: 201.8342, train_time: 15.9258)
16: (ep_len: 39, kl: 0.0087, lr_mult: 0.6667, loss: 4.8738, entropy: 4.2343, EV_old: 0.2866, EV_new: 0.3275, sp_time: 216.3359, train_time: 15.9091)
17: (ep_len: 42, kl: 0.0373, lr_mult: 0.6667, loss: 4.7272, entropy: 4.1584, EV_old: 0.3346, EV_new: 0.4126, sp_time: 198.2587, train_time: 15.6765)
18: (ep_len: 45, kl: 0.0209, lr_mult: 0.6667, loss: 4.6976, entropy: 4.1232, EV_old: 0.3649, EV_new: 0.4281, sp_time: 248.3276, train_time: 16.4159)
19: (ep_len: 32, kl: 0.0146, lr_mult: 0.6667, loss: 4.7464, entropy: 4.1162, EV_old: 0.2346, EV_new: 0.3297, sp_time: 172.6111, train_time: 15.9955)
